i,j,value
4,78,0.634592
4,79,0.633962
4,80,0.632814
4,81,0.63112
4,82,0.628849
4,83,0.625965
4,84,0.622436
4,85,0.618224
4,86,0.613294
4,87,0.607612
4,88,0.601142
4,89,0.593852
4,90,0.585712
4,91,0.576695
4,92,0.566775
4,93,0.555932
4,94,0.544145
4,95,0.531402
4,96,0.517688
4,97,0.502995
4,98,0.487318
4,99,0.472719
5,0,0.46253
5,1,0.477391
5,2,0.491883
5,3,0.505974
5,4,0.519628
5,5,0.532808
5,6,0.545471
5,7,0.557574
5,8,0.56907
5,9,0.579908
5,10,0.590037
5,11,0.599402
5,12,0.607949
5,13,0.615623
5,14,0.622372
5,15,0.628144
5,16,0.632894
5,17,0.636581
5,18,0.639173
5,19,0
5,20,0
5,21,0
5,22,0.665813
5,23,0.668847
5,24,0.67095
5,25,0.672198
5,26,0.672671
5,27,0.672449
5,28,0.671609
5,29,0.670228
5,30,0.668374
5,31,0.666115
5,32,0.663508
5,33,0.660607
5,34,0.657458
5,35,0.6541
5,36,0.650566
5,37,0.646881
5,38,0.643063
5,39,0.639128
5,40,0.635081
5,41,0.630924
5,42,0.626653
5,43,0.62226
5,44,0.61773
5,45,0.619062
5,46,0.621263
5,47,0.623407
5,48,0.625476
5,49,0.627448
5,50,0.629301
5,51,0.631013
5,52,0.632563
5,53,0.63393
5,54,0.635096
5,55,0.636042
5,56,0.636752
5,57,0.637212
5,58,0.63741
5,59,0.637337
5,60,0.636985
5,61,0.636347
5,62,0.63542
5,63,0.6342
5,64,0.632686
5,65,0.630877
5,66,0.62877
5,67,0.633286
5,68,0.637365
5,69,0.641024
5,70,0.644274
5,71,0.647127
5,72,0.649588
5,73,0.651659
5,74,0.653337
5,75,0.654616
5,76,0.655484
5,77,0.655925
5,78,0.655917
5,79,0.655437
5,80,0.654457
5,81,0.652943
5,82,0.650863
5,83,0.64818
5,84,0.644854
5,85,0.640847
5,86,0.636119
5,87,0.630633
5,88,0.62435
5,89,0.617236
5,90,0.609258
5,91,0.600387
5,92,0.590596
5,93,0.579863
5,94,0.568169
5,95,0.555499
5,96,0.541842
5,97,0.527189
5,98,0.511534
5,99,0.494874
6,0,0.475808
6,1,0.491056
6,2,0.505949
6,3,0.520453
6,4,0.534532
6,5,0.548146
6,6,0.561252
6,7,0.573803
6,8,0.585749
6,9,0.597035
6,10,0.607606
6,11,0.617401
6,12,0.626359
6,13,0.63442
6,14,0.641522
6,15,0.647608
6,16,0.652623
6,17,0.656522
6,18,0.659266
6,19,0
6,20,0
6,21,0
6,22,0.688455
6,23,0.691122
6,24,0.692832
6,25,0.693671
6,26,0.693727
6,27,0.693089
6,28,0.691842
6,29,0.690069
6,30,0.687846
6,31,0.685244
6,32,0.682326
6,33,0.679149
6,34,0.67576
6,35,0.672201
6,36,0.668504
6,37,0.664697
6,38,0.660797
6,39,0.656817
6,40,0.652764
6,41,0.648638
6,42,0.644433
6,43,0.640139
6,44,0.638187
6,45,0.640364
6,46,0.642529
6,47,0.644663
6,48,0.646741
6,49,0.64874
6,50,0.650635
6,51,0.652402
6,52,0.654016
6,53,0.655457
6,54,0.656702
6,55,0.657732
6,56,0.65853
6,57,0.659082
6,58,0.659376
6,59,0.659402
6,60,0.659152
6,61,0.658623
6,62,0.657811
6,63,0.656716
6,64,0.655337
6,65,0.653676
6,66,0.651734
6,67,0.653644
6,68,0.657618
6,69,0.661191
6,70,0.66438
6,71,0.667195
6,72,0.669643
6,73,0.671728
6,74,0.673447
6,75,0.674793
6,76,0.675753
6,77,0.67631
6,78,0.676442
6,79,0.676122
6,80,0.675319
6,81,0.674
6,82,0.672125
6,83,0.669654
6,84,0.666546
6,85,0.662757
6,86,0.658244
6,87,0.652965
6,88,0.646879
6,89,0.639948
6,90,0.632137
6,91,0.623415
6,92,0.613754
6,93,0.603131
6,94,0.591526
6,95,0.578925
6,96,0.565318
6,97,0.550695
6,98,0.535054
6,99,0.518392
7,0,0.488632
7,1,0.504275
7,2,0.519577
7,3,0.534505
7,4,0.549023
7,5,0.563088
7,6,0.576657
7,7,0.589679
7,8,0.602101
7,9,0.613865
7,10,0.624909
7,11,0.635169
7,12,0.644575
7,13,0.653058
7,14,0.66055
7,15,0.666983
7,16,0.672296
7,17,0.676431
7,18,0.679346
7,19,0
7,20,0
7,21,0
